State,State_Abv,State_Code,Auto,Browsing,Refinance,Personal,Purchase,Housing,Express_Visited,Form_Start,Form_Submit,TreeAuthID
alabama,AL,1,494,6975,9997,3428,1767,1014,1892,13237,1628,2035
alaska,AK,2,39,723,1047,226,176,113,185,1288,159,175
arizona,AZ,4,791,10729,17735,3270,2954,1415,2492,20768,2086,2363
arkansas,AR,5,276,3025,4703,1109,829,465,804,5870,695,828
california,CA,6,5005,73375,101992,27192,16521,9320,15574,128208,13033,14497
colorado,CO,8,809,10256,14935,2888,2580,1333,2226,17789,1865,2181
connecticut,CT,9,441,5767,9475,1708,1408,839,1282,11271,1096,1310
delaware,DE,10,122,1882,2966,602,471,240,403,3539,347,400
florida,FL,12,2955,39953,65701,13516,11982,6204,9274,79450,7828,9424
georgia,GA,13,1957,25051,34092,11433,6255,3014,6800,44870,5744,7048
hawaii,HI,15,103,1828,3022,769,393,331,420,3803,367,433
idaho,ID,16,99,2346,2882,571,486,292,425,3473,346,410
illinois,IL,17,1846,25869,33829,10781,5811,2949,6008,44074,5165,6066
indiana,IN,18,727,8892,13040,3581,2274,1225,2331,16734,1976,2269
iowa,IA,19,267,3762,5388,1233,858,540,792,6711,663,780
kansas,KS,20,278,3802,5248,1249,919,400,842,6494,702,864
kentucky,KY,21,405,5256,7479,2044,1319,766,1404,9562,1205,1290
louisiana,LA,22,408,4842,7420,1807,1245,708,1168,9421,991,1203
maine,ME,23,121,1737,2632,555,427,252,370,3210,324,395
maryland,MD,24,843,11010,17598,4114,2792,1351,2554,21301,2138,2726
massachusetts,MA,25,969,12061,18625,3488,2829,1693,2361,22172,2004,2605
michigan,MI,26,979,14785,21410,5370,3644,2139,3446,26729,2978,3579
minnesota,MN,27,671,8043,11966,2529,2061,952,1677,14438,1406,1700
mississippi,MS,28,253,2971,4507,1494,794,441,900,6010,786,895
missouri,MO,29,696,8716,10982,3079,2030,1008,2029,14095,1739,2016
montana,MT,30,92,1203,1970,331,340,164,261,2322,231,228
nebraska,NE,31,266,3074,4211,1092,747,406,706,5368,624,685
nevada,NV,32,380,4905,7113,1819,1319,732,1244,8905,1042,1255
new hampshire,NH,33,176,2069,3264,539,545,322,492,3835,437,439
new jersey,NJ,34,1159,17759,26575,5847,4108,2380,3645,32322,3040,3805
new mexico,NM,35,156,2391,3544,851,580,328,585,4349,497,538
new york,NY,36,1851,31087,44079,11134,7397,4106,6935,55243,5856,7903
north carolina,NC,37,1469,18709,26943,7604,5237,2431,4767,34150,4065,4993
north dakota,ND,38,95,929,1344,336,216,136,215,1734,187,186
ohio,OH,39,1546,18943,26978,7470,4789,2323,4881,34349,4168,4794
oklahoma,OK,40,349,4271,5905,1695,1110,583,1148,7643,982,1136
oregon,OR,41,430,6422,9517,1828,1649,809,1326,11279,1119,1194
pennsylvania,PA,42,1630,23338,33017,8897,5430,3286,5531,42008,4698,5524
rhode island,RI,44,138,1425,2542,509,318,231,360,3119,291,403
south carolina,SC,45,530,7034,10525,2787,1935,997,1812,13247,1585,1807
south dakota,SD,46,76,915,1256,270,214,127,197,1578,165,198
tennessee,TN,47,765,10319,14791,4202,2862,1328,2660,18734,2278,2870
texas,TX,48,4070,50484,68050,21030,13398,6376,13097,89036,11006,13138
utah,UT,49,220,4065,6070,1065,1249,547,883,7224,763,673
vermont,VT,50,58,751,1358,229,206,124,173,1589,149,177
virginia,VA,51,1477,110310,22458,5537,4415,1769,3384,28932,2819,8597
washington,WA,53,816,13138,19276,4016,3067,1659,2553,23034,2191,2375
west virginia,WV,54,184,1999,3172,800,569,343,563,4046,488,595
wisconsin,WI,55,553,7172,10003,2244,1641,827,1515,12212,1298,1480
wyoming,WY,56,55,807,1166,239,177,111,164,1422,145,153
